,VESSEL_UID,LATITUDE,LONGITUDE,TIME
93,6617829,-26.75722,311.36002,2013-01-05 14:00:00
94,6617829,-26.74425,311.45857,2013-01-05 15:00:00
95,6617829,-26.74603,311.45613,2013-01-05 16:00:00
96,6617829,-26.76092,311.33962,2013-01-05 17:00:00
97,6617829,-26.75617,311.36165,2013-01-05 19:00:00
98,6617829,-26.74503,311.46035,2013-01-05 20:00:00
99,6617829,-26.74603,311.43408,2013-01-05 21:00:00
100,6617829,-26.76215,311.33582,2013-01-05 22:00:00
101,6617829,-26.74612,311.42053,2013-01-05 23:00:00
102,6617829,-26.74253,311.45935,2013-01-06 01:00:00
103,6617829,-26.75342,311.38077,2013-01-06 02:00:00
104,6617829,-26.7622,311.33578,2013-01-06 03:00:00
105,6617829,-26.74302,311.34638,2013-01-06 05:00:00
106,6617829,-26.74332,311.34475,2013-01-06 06:00:00
107,6617829,-26.74322,311.34463,2013-01-06 07:00:00
108,6617829,-26.74245,311.34493,2013-01-06 08:00:00
109,6617829,-26.76195,311.33638,2013-01-06 10:00:00
110,6617829,-26.75688,311.36155,2013-01-06 12:00:00
111,6617829,-26.74198,311.4542,2013-01-06 13:00:00
112,6617829,-26.74567,311.42992,2013-01-06 14:00:00
113,6617829,-26.76342,311.33827,2013-01-06 16:00:00
114,6617829,-26.75625,311.36155,2013-01-06 17:00:00
115,6617829,-26.74443,311.46177,2013-01-06 18:00:00
116,6617829,-26.74868,311.45617,2013-01-06 19:00:00
117,6617829,-26.7628,311.33977,2013-01-06 21:00:00
118,6617829,-26.75217,311.38928,2013-01-06 22:00:00
119,6617829,-26.75223,311.38948,2013-01-06 23:00:00
120,6617829,-26.75235,311.38993,2013-01-07 01:00:00
121,6617829,-26.75233,311.39,2013-01-07 02:00:00
122,6617829,-26.74088,311.45647,2013-01-07 03:00:00
123,6617829,-26.74225,311.45588,2013-01-07 04:00:00
124,6617829,-26.75357,311.37445,2013-01-07 05:00:00
125,6617829,-26.7633,311.33865,2013-01-07 06:00:00
126,6617829,-26.7507,311.39425,2013-01-07 07:00:00
127,6617829,-26.7403,311.4613,2013-01-07 08:00:00
128,6617829,-26.75373,311.37502,2013-01-07 09:00:00
129,6617829,-26.75622,311.36182,2013-01-07 11:00:00
130,6617829,-26.73985,311.45652,2013-01-07 12:00:00
131,6617829,-26.74348,311.43985,2013-01-07 13:00:00
132,6617829,-26.76363,311.3379,2013-01-07 15:00:00
133,6617829,-26.7395,311.45503,2013-01-07 16:00:00
134,6617829,-26.74367,311.4628,2013-01-07 17:00:00
135,6617829,-26.7591,311.3492,2013-01-07 18:00:00
136,6617829,-26.76365,311.33803,2013-01-07 19:00:00
137,6617829,-26.74148,311.45217,2013-01-07 20:00:00
138,6617829,-26.74352,311.44097,2013-01-07 21:00:00
139,6617829,-26.76365,311.33815,2013-01-07 23:00:00
140,6617829,-26.74397,311.45245,2013-01-08 00:00:00
141,6617829,-26.74197,311.4536,2013-01-08 01:00:00
142,6617829,-26.76238,311.34018,2013-01-08 03:00:00
143,6617829,-26.76272,311.33943,2013-01-08 04:00:00
144,6617829,-26.74125,311.45677,2013-01-08 05:00:00
145,6617829,-26.74245,311.44905,2013-01-08 06:00:00
146,6617829,-26.76275,311.33847,2013-01-08 07:00:00
147,6617829,-26.75617,311.36157,2013-01-08 08:00:00
148,6617829,-26.74398,311.45687,2013-01-08 09:00:00
149,6617829,-26.74735,311.42365,2013-01-08 10:00:00
150,6617829,-26.75602,311.3615,2013-01-08 12:00:00
151,6617829,-26.7422,311.45458,2013-01-08 13:00:00
152,6617829,-26.74497,311.43433,2013-01-08 15:00:00
153,6617829,-26.76357,311.3385,2013-01-08 16:00:00
154,6617829,-26.75718,311.36148,2013-01-08 17:00:00
155,6617829,-26.74462,311.4602,2013-01-08 18:00:00
156,6617829,-26.74793,311.44678,2013-01-08 19:00:00
157,6617829,-26.76332,311.33862,2013-01-08 20:00:00
158,6617829,-26.75067,311.3938,2013-01-08 21:00:00
159,6617829,-26.74555,311.46017,2013-01-08 23:00:00
160,6617829,-26.75445,311.37055,2013-01-09 00:00:00
161,6617829,-26.76277,311.33787,2013-01-09 01:00:00
162,6617829,-26.7455,311.45468,2013-01-09 02:00:00
163,6617829,-26.74535,311.4604,2013-01-09 03:00:00
164,6617829,-26.75883,311.34952,2013-01-09 04:00:00
165,6617829,-26.76277,311.3378,2013-01-09 05:00:00
166,6617829,-26.74488,311.43088,2013-01-09 06:00:00
167,6617829,-26.74382,311.46355,2013-01-09 07:00:00
168,6617829,-26.7522,311.38705,2013-01-09 09:00:00
169,6617829,-26.76313,311.33865,2013-01-09 10:00:00
170,6617829,-26.756,311.3618,2013-01-09 11:00:00
171,6617829,-26.74693,311.45277,2013-01-09 12:00:00
172,6617829,-26.74612,311.41652,2013-01-09 13:00:00
173,6617829,-26.76277,311.3378,2013-01-09 14:00:00
